ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression-J,Max Tension-J,Envelope:QG2+(100/30-BSE-1E)/m-Max,Envelope:QG2+(100/30-BSE-1E)/m-Min,Envelope:QG2+(100/30-BSE-2E)/m-Max,Envelope:QG2+(100/30-BSE-2E)/m-Min,Max Compression-m,Max Tension-m
Base-6,940,No,Base,6,No,341,133.6667,0,c436ac73-bbb8-42bf-8521-795466350c93,79.954,-69.2,81.29,-67.865,81.29,-69.2,49.764,-39.01,44.673,-33.918,49.764,-39.01
Base-11,905,No,Base,11,No,142.4167,0,0,2fc16750-a94f-4a6f-b178-726bfa08a9b0,233.627,-52.417,260.894,-25.15,260.894,-52.417,175.049,6.161,165.31,15.9,175.049,0
Base-13,630,No,Base,13,No,120.75,0,0,223a2cdb-a01d-459d-80db-d3577e99d52e,319.174,-129.304,347.362,-101.117,347.362,-129.304,227.426,-37.556,212.134,-22.264,227.426,-37.556
Base-16,941,No,Base,16,No,341,165,0,deddb666-434a-45f7-917c-7c2ae2b90c22,17.352,2.956,20.003,5.607,20.003,0,13.734,6.574,13.324,6.984,13.734,0
Base-17,3684,No,Base,17,No,341,158.0833,0,81647b03-6489-42c3-8b28-e936c0816666,57.288,-50.203,58.212,-49.279,58.212,-50.203,35.931,-28.845,32.219,-25.134,35.931,-28.845
Base-20,4915,No,Base,20,No,341,182.1667,0,46aeb532-fcbb-45cf-a6a4-7b5619125807,62.024,-55.35,62.91,-54.464,62.91,-55.35,38.315,-31.641,34.306,-27.632,38.315,-31.641
Base-25,944,No,Base,25,No,341,204.8333,0,9d51abe4-5cf0-41b3-97c4-764ab7deb085,81.174,-68.064,82.857,-66.381,82.857,-68.064,50.098,-36.988,45.106,-31.996,50.098,-36.988
Base-26,6884,No,Base,26,No,341,188.3333,0,e323b200-c097-47ff-a2a8-7f1c76e409c9,57.859,-50.19,58.842,-49.207,58.842,-50.19,35.437,-27.768,31.815,-24.146,35.437,-27.768
Base-35,946,No,Base,35,No,341,210.1667,0,a290f52d-4072-41de-bb4f-270282396d9a,80.136,-70.073,81.424,-68.785,81.424,-70.073,48.055,-37.992,43.119,-33.056,48.055,-37.992
Base-36,947,No,Base,36,No,341,209,0,f65e4a02-cef1-4f8f-a4d3-6c6f5e1c924c,16.587,-19.548,16.199,-19.936,16.587,-19.936,9.402,-12.363,8.158,-11.119,9.402,-12.363
