ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression-J,Max Tension-J,Envelope:QG2+(100/30-BSE-1E)/m-Max,Envelope:QG2+(100/30-BSE-1E)/m-Min,Envelope:QG2+(100/30-BSE-2E)/m-Max,Envelope:QG2+(100/30-BSE-2E)/m-Min,Max Compression-m,Max Tension-m
Base-4282,Base,4282,7074,251.2917,No,91.5,0,No,0,124.3,-104.4,126.9,-101.9,126.9,-104.4,76.3,-56.4,69.8,-49.9,76.3,-56.4
Base-4283,Base,4283,7075,153.1667,No,93.5,0,No,0,144.4,-89.8,152.7,-81.4,152.7,-89.8,95.2,-40.6,88.7,-34.1,95.2,-40.6
Base-4285,Base,4285,7078,150.8333,No,89.1667,0,No,0,197.6,-140.6,206.4,-131.8,206.4,-140.6,126.6,-69.5,117.1,-60.1,126.6,-69.5
Base-4290,Base,4290,7120,154.7083,No,108,0,No,0,103.1,-51.9,110.7,-44.3,110.7,-51.9,70.5,-19.4,66.5,-15.3,70.5,-19.4
Base-4292,Base,4292,7196,156.25,No,109.1667,0,No,0,112.5,-80.9,117.2,-76.3,117.2,-80.9,71.9,-40.3,66.7,-35.1,71.9,-40.3
Base-4310,Base,4310,7168,157.25,No,2.25,0,No,0,239.6,-177.8,248.2,-169.2,248.2,-177.8,151.9,-90.1,141.8,-80,151.9,-90.1
Base-4331,Base,4331,7117,145.9028,No,133.6667,0,No,0,190.5,-128.7,199.8,-119.3,199.8,-128.7,123.4,-61.6,114.4,-52.6,123.4,-61.6
Base-4427,Base,4427,7358,154.1805,No,133.6667,0,No,0,190.9,-145.6,197.8,-138.8,197.8,-145.6,120.2,-74.9,110.7,-65.4,120.2,-74.9
Base-4452,Base,4452,7403,159.7083,No,8.6667,0,No,0,110.6,-62.6,117.4,-55.9,117.4,-62.6,74.2,-26.2,69.4,-21.4,74.2,-26.2
Base-4453,Base,4453,7404,156.25,No,130.3333,0,No,0,123.5,-73.5,131,-65.9,131,-73.5,82.1,-32.1,76.6,-26.6,82.1,-32.1
Base-4455,Base,4455,7406,156.25,No,132,0,No,0,199.5,-149.5,207.1,-141.9,207.1,-149.5,126.2,-76.2,116.3,-66.3,126.2,-76.2
Base-4149,Base,4149,7728,124.75,No,91.5,0,No,0,63.5,-3.2,72.4,5.8,72.4,-3.2,49.5,10.8,48.5,11.8,49.5,10.8
Base-4789,Base,4789,7849,203.75,No,219.1667,0,No,0,28.8,-24.1,29.3,-23.6,29.3,-24.1,17.7,-13,16.2,-11.5,17.7,-13
Base-4791,Base,4791,7851,337.25,No,210.1667,0,No,0,39,-29.9,40.1,-28.8,40.1,-29.9,24.5,-15.4,22.6,-13.5,24.5,-15.4
Base-4794,Base,4794,7855,152.75,No,133.6667,0,No,0,126.1,-90.6,131.4,-85.3,131.4,-90.6,80.5,-45.1,74.4,-39,80.5,-45.1
Base-4796,Base,4796,7867,0,No,44.25,0,No,0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Base-4798,Base,4798,7869,0,No,64.5833,0,No,0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Base-4804,Base,4804,7875,0,No,189.0833,0,No,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
