ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-1995,1113,No,Base,1995,No,50.9167,158.8333,0,d194b40e-7bac-46dc-abe0-067a0ae74080,57.809,28.682,70.947,41.82,70.947,0
Base-2010,1114,No,Base,2010,No,50.9167,151.1667,0,68fd23de-c555-4510-95f4-03011958ac99,55.289,50.467,71.526,66.704,71.526,0
Base-2021,1115,No,Base,2021,No,50.9167,146.9167,0,5ae060fd-1444-4a7b-bcb8-0af79819cb22,82.841,38.589,101.61,57.357,101.61,0
Base-2032,1116,No,Base,2032,No,50.9167,141.9167,0,dba16659-e5a7-4fe9-a624-f3c1ef95fc5b,94.411,30.696,113.844,50.129,113.844,0
Base-2043,1117,No,Base,2043,No,50.9167,133.6667,0,7e0b11e3-ed2b-4be9-86da-5394b8dae031,106.564,-2.772,122.665,13.33,122.665,-2.772
Base-2054,1118,No,Base,2054,No,50.9167,128.9167,0,30706399-ca76-4672-8d38-363c8b805e9d,151.858,-22.099,172.055,-1.902,172.055,-22.099
Base-2066,1119,No,Base,2066,No,50.9167,120.9167,0,56eb28ec-edb0-4ec6-8803-d4607e2e1a10,148.253,-35.909,165.589,-18.574,165.589,-35.909
Base-2077,1120,No,Base,2077,No,50.9167,118.9167,0,ddf9ec0d-8e68-4a77-9b37-c6bf43ebab60,214.873,-90.28,233.668,-71.485,233.668,-90.28
Base-2090,1121,No,Base,2090,No,50.9167,137.7917,0,14f79c60-df27-4e56-ad39-8881928f4b9e,120.026,-9.763,137.251,7.462,137.251,-9.763
Base-2103,1122,No,Base,2103,No,50.9167,124.9167,0,1e5a076b-03ab-4d05-b513-737958e9d4bb,132.216,-38.145,146.679,-23.682,146.679,-38.145
Base-2117,1123,No,Base,2117,No,50.9167,111.9167,0,1194bd19-64ac-4896-9219-78e7d2956c60,307.106,-135.536,333.171,-109.471,333.171,-135.536
Base-2118,1124,No,Base,2118,No,50.9167,109.8333,0,b8ac652e-6da7-49e2-a123-2a5f83a1796b,106.037,-75.712,111.037,-70.713,111.037,-75.712
Base-2123,1277,No,Base,2123,No,106.9167,26.5,0,be6fa3d4-1ef1-49e0-bb38-f1c33a5d9615,0,0,0,0,0,0
Base-2124,1276,No,Base,2124,No,106.9167,22,0,1105697e-eefa-4021-8acd-64cfeca6795d,0,0,0,0,0,0
Base-2135,1125,No,Base,2135,No,50.9167,177.8333,0,b1db0967-3147-4675-8a73-37b3ca74f241,113.706,-3.783,129.349,11.86,129.349,-3.783
Base-2144,1126,No,Base,2144,No,50.9167,171.4167,0,86e6a61d-38bf-456f-ae5c-6ef229a24113,150.24,2.486,172.635,24.881,172.635,0
Base-2168,1127,No,Base,2168,No,50.9167,87.5,0,4cffd6d6-01af-4ee2-9c94-64d5b83e8f35,45.992,-24.986,49.039,-21.939,49.039,-24.986
Base-2173,1128,No,Base,2173,No,50.9167,81.5,0,df9bd3b1-da07-4528-b0ba-2a48e3a894c2,57.113,-40.476,59.524,-38.065,59.524,-40.476
Base-2178,1129,No,Base,2178,No,50.9167,84.5,0,38e80f12-6d1b-4002-b87f-e566b3d6c976,61.892,-42.055,64.765,-39.182,64.765,-42.055
Base-2188,1130,No,Base,2188,No,50.9167,78.5,0,1cde7b8a-bfb6-415a-b7c6-6bbc69239acd,13.788,-4.157,15.236,-2.709,15.236,-4.157
Base-2189,1131,No,Base,2189,No,50.9167,69.5,0,257ac818-1dc0-4925-b13c-232476811935,39.663,-17.189,43.036,-13.816,43.036,-17.189
Base-2195,2603,No,Base,2195,No,50.9167,63.5,0,04484c84-0771-446f-8ce8-d1a38913ffcd,0,0,0,0,0,0
Base-2199,2608,No,Base,2199,No,50.9167,60.5,0,2e308f8e-a814-4e91-b36d-a6c9cffb0ee0,0,0,0,0,0,0
Base-2203,2611,No,Base,2203,No,50.9167,56.5,0,a47c583d-053e-42b2-bab5-9a6498ddfd25,0,0,0,0,0,0
Base-2207,1132,No,Base,2207,No,50.9167,53.5,0,6afc6d27-66c6-4940-9956-645b3bc52f8b,26.661,-1.015,30.487,2.811,30.487,-1.015
Base-2208,1282,No,Base,2208,No,106.9167,50,0,9ca145a2-3ebb-4603-a1fa-0a96084ba3df,0,0,0,0,0,0
Base-2209,1278,No,Base,2209,No,106.9167,31.5,0,6b3d0d9a-1560-42c2-bdb1-8ae252f8e5ce,0,0,0,0,0,0
Base-2214,2617,No,Base,2214,No,50.9167,50,0,fd41877e-d3c8-4861-bfe2-9c4f54d1bc1c,0,0,0,0,0,0
Base-2218,1133,No,Base,2218,No,50.9167,74,0,40582f8d-f608-4a39-95b4-ee74db106bfc,11.473,1.954,13.49,3.971,13.49,0
Base-2227,1134,No,Base,2227,No,46.9167,177.8333,0,7490d42a-bb13-4333-9250-05aed52c6a2e,48.627,26.76,59.988,38.122,59.988,0
Base-2232,1135,No,Base,2232,No,46.9167,183.5833,0,b880a758-8b4d-4817-b123-70a868df98d0,47.046,12.009,55.559,20.522,55.559,0
Base-2233,1136,No,Base,2233,No,46.9167,189.3333,0,6484096e-c612-40a1-a77f-9e2d20f2c4a3,39.147,-10.363,43.052,-6.459,43.052,-10.363
Base-2234,1137,No,Base,2234,No,143.8333,119.1667,0,4dbc92e9-e782-4576-be4d-f4aa98d6b5da,276.101,-214.005,285.212,-204.894,285.212,-214.005
Base-2239,2984,No,Base,2239,No,0,192.0833,0,f5a95616-f3ed-4744-95ce-ef1148000dd4,9.731,-3.83,10.418,-3.143,10.418,-3.83
Base-2246,1139,No,Base,2246,No,0,186.0833,0,633514a2-c103-48fd-a695-2d4cea6259e6,27.061,-12.534,29.777,-9.819,29.777,-12.534
Base-2247,1140,No,Base,2247,No,0,180.3333,0,053f3630-5f7d-4608-9a73-7a27f66cfd73,20.547,-3.573,23.752,-0.368,23.752,-3.573
Base-2251,1141,No,Base,2251,No,0,177.8333,0,c264ce77-3b3f-456a-8b53-4ecfe4a7ec34,10.058,6.382,13.286,9.61,13.286,0
Base-2255,1142,No,Base,2255,No,0,166.0833,0,1a860ebd-75e1-4967-9fec-5713fce7c685,10.911,5.055,14.524,8.668,14.524,0
Base-2259,1143,No,Base,2259,No,0,171.9583,0,2c7b8d0c-29c2-48f9-bcf9-8ea042e5dfaa,16.2,0.395,19.721,3.916,19.721,0
Base-2263,1144,No,Base,2263,No,0,159.3333,0,502b4bd9-2cea-4db7-8cf8-1d47c89676d1,14.51,5.422,19.067,9.979,19.067,0
Base-2267,1145,No,Base,2267,No,0,155.1667,0,8d9aed3e-26ac-4ae1-b4f9-1c282d1d9100,10.169,3.46,13.286,6.578,13.286,0
Base-2271,1146,No,Base,2271,No,0,151.1667,0,242271f9-42e8-427c-b7b5-f7df950884c6,11.802,-0.652,14.426,1.971,14.426,-0.652
Base-2275,1147,No,Base,2275,No,0,148.0833,0,78c860b9-b889-48d9-91f8-cba91d028f23,11.609,8.166,16.223,12.78,16.223,0
Base-2279,1148,No,Base,2279,No,0,141.3333,0,52ab0d71-9c05-402d-8669-8efdc114a741,15.195,11.213,21.354,17.373,21.354,0
