ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-1433,1032,No,Base,1433,No,326.6667,133.6667,0,ba8ce5ea-45d7-4d3c-98c1-62550bb0cd5f,28.173,-12.995,30.071,-11.097,30.071,-12.995
Base-1434,1033,No,Base,1434,No,333.8333,133.6667,0,a46fb251-5050-4d11-a12e-c3c8fa3a1788,42.565,-32.485,43.798,-31.251,43.798,-32.485
Base-1439,1034,No,Base,1439,No,341,137.1667,0,e1e82d6c-dc07-4120-ad89-e2f65f7ddf7c,53.771,-45.101,54.839,-44.032,54.839,-45.101
Base-1440,1035,No,Base,1440,No,341,141.1667,0,f829da14-90d0-4373-a9b6-c4d7d4b900b1,36.641,-27.824,37.729,-26.736,37.729,-27.824
Base-1443,1036,No,Base,1443,No,341,149.3333,0,3cddd0f6-4f2c-4636-98f8-730282d2dc76,8.524,4.425,10.177,6.078,10.177,4.425
Base-1444,1037,No,Base,1444,No,341,152.9167,0,53faa184-208b-47e3-947e-525b42c8659d,50.705,-46.778,51.223,-46.26,51.223,-46.778
Base-1448,1038,No,Base,1448,No,341,145.25,0,c7effdce-13f5-4910-824e-60ca80785b3e,20.666,-10.619,21.925,-9.36,21.925,-10.619
Base-1456,1039,No,Base,1456,No,255.0833,97.7778,0,d169d875-bb61-4b4e-95a1-0f7160d3e1b1,123.144,-102.3,126.042,-99.402,126.042,-102.3
Base-1457,1040,No,Base,1457,No,255.0833,104.0556,0,d7284d3f-4cbc-4429-b3d6-74573d587990,68.522,-42.473,72.127,-38.868,72.127,-42.473
Base-1460,1041,No,Base,1460,No,196.75,91.5,0,18f1b3f4-ab7d-4976-b542-43eee8f8da4f,44.218,-19.839,47.726,-16.331,47.726,-19.839
Base-1468,1042,No,Base,1468,No,213.7083,91.5,0,34d214a2-68c3-4997-8cde-5823201b6cd8,71.665,-19.149,79.335,-11.479,79.335,-19.149
Base-1469,1043,No,Base,1469,No,219.9167,91.5,0,f0de1ac7-3c51-46bd-8ef2-b7653efe1857,39.235,-12.96,42.885,-9.309,42.885,-12.96
Base-1470,1044,No,Base,1470,No,226.125,91.5,0,feb3fcb5-c948-46d8-832b-9378b1989543,30.011,-13.907,32.035,-11.883,32.035,-13.907
Base-1475,1045,No,Base,1475,No,239.9167,91.5,0,c5684957-a997-4434-a5fd-6295e8b7f4a3,16.718,-2.111,18.532,-0.297,18.532,-2.111
Base-1476,1046,No,Base,1476,No,247.5,91.5,0,1927a7c1-68ef-4d34-ba08-7cdb9ad7d7e6,33.331,-28.726,33.947,-28.11,33.947,-28.726
Base-1479,1047,No,Base,1479,No,202.125,91.5,0,b5162e0a-5bf3-42b4-8246-ac03b2b1b4f2,147.702,-53.5,162.007,-39.194,162.007,-53.5
Base-1571,1048,No,Base,1571,No,143.8333,103.8333,0,7f853e1f-a2d4-48d9-afc9-76aa9bec1893,157.049,-121.396,162.54,-115.905,162.54,-121.396
Base-1726,822,No,Base,1726,No,79.5833,188.3333,0,31cbc072-e1fb-454a-9778-19335223e85a,122.555,94.003,156.555,128.003,156.555,94.003
Base-1728,823,No,Base,1728,No,100.0833,188.3333,0,b046eb3b-b8ad-409b-ba85-f4e1faad9112,206.764,162.071,264.861,220.168,264.861,162.071
Base-1729,824,No,Base,1729,No,128.75,188.3333,0,c7e31d71-26ec-4f6f-9119-bf7fe7e75a25,235.103,138.07,294.118,197.085,294.118,138.07
Base-1730,825,No,Base,1730,No,156.25,188.3333,0,14e69d4f-f905-4b65-996c-3d90b310f517,235.367,131.718,293.537,189.887,293.537,131.718
Base-1731,826,No,Base,1731,No,180.3333,188.3333,0,ad91c155-beb5-4ebf-9cf4-56e008c63be3,219.582,132.915,275.42,188.753,275.42,132.915
Base-1732,827,No,Base,1732,No,207.5,188.3333,0,3cc7fb00-a26f-4f2e-9377-50f1d3e1b6fa,167.285,158.874,218.653,210.243,218.653,158.874
Base-1733,828,No,Base,1733,No,232.3333,188.3333,0,69769cec-8e7f-4f26-906c-ef576c74e2fe,219.125,49.975,260.866,91.715,260.866,49.975
Base-1736,1049,No,Base,1736,No,60.4167,219.1667,0,4f9eff5c-c49d-420b-b57d-c746b8706b97,64.83,-43.487,67.733,-40.584,67.733,-43.487
Base-1737,1050,No,Base,1737,No,50.9167,219.1667,0,39eaa68f-1889-44b2-b5b9-4633d1e02a8a,154.155,-119.622,159.133,-114.644,159.133,-119.622
Base-1742,1051,No,Base,1742,No,67.4167,219.1667,0,b2a2c194-a12a-4495-b241-ab47ea819425,30.484,-19.632,31.643,-18.473,31.643,-19.632
Base-1745,1052,No,Base,1745,No,73.4167,219.1667,0,8cc7dc32-438f-445d-a14c-c4aec285777f,51.246,-50.339,51.011,-50.574,51.246,-50.574
Base-1750,1053,No,Base,1750,No,86.4167,219.1667,0,34625f90-b322-41da-aded-1d4a868dea8b,9.182,6.374,11.079,8.271,11.079,6.374
Base-1751,1054,No,Base,1751,No,80.9167,219.1667,0,d889d066-a658-49b2-9ab9-b1187cc35bf1,64.125,-49.836,66.344,-47.617,66.344,-49.836
Base-1754,1055,No,Base,1754,No,93.4167,219.1667,0,881f60dd-e785-4b69-83dd-d882da4e9945,17.073,-1.874,18.847,-0.1,18.847,-1.874
Base-1757,1056,No,Base,1757,No,100.0833,219.1667,0,7285c834-f07d-498d-a1f2-5658ac5ea8e7,53.789,-59.513,52.561,-60.742,53.789,-60.742
Base-1762,1057,No,Base,1762,No,114.9167,219.1667,0,be2f0f4c-3cbb-445f-a74d-04b6ce2c6a85,9.4,4.492,11.077,6.169,11.077,4.492
Base-1763,1058,No,Base,1763,No,108.25,219.1667,0,7e5d3aae-7d54-4966-bac4-6457cbd1ef4f,51.612,-35.1,54.062,-32.65,54.062,-35.1
Base-1766,1059,No,Base,1766,No,120.75,219.1667,0,7c23c24b-706c-415e-a647-44a8444e7762,9.021,4.983,10.729,6.691,10.729,4.983
Base-1769,1060,No,Base,1769,No,128.75,219.1667,0,a604d147-534a-4f68-a45b-20712ed43da9,17.494,-2.827,19.21,-1.111,19.21,-2.827
Base-1772,1061,No,Base,1772,No,138.4167,219.1667,0,e6f97024-6376-4237-be7e-b6cf8a066c3a,16.362,-3.701,17.814,-2.249,17.814,-3.701
Base-1775,1062,No,Base,1775,No,145.4167,219.1667,0,5c0267dc-ffdd-47d0-80f7-5508769dba8d,16.315,-7.056,17.323,-6.047,17.323,-7.056
Base-1778,1063,No,Base,1778,No,151.4167,219.1667,0,64a2c6ec-a5d8-4177-a1ec-ce98d33def98,15.708,-4.986,16.907,-3.786,16.907,-4.986
Base-1781,1064,No,Base,1781,No,157.4167,219.1667,0,1ff807e9-2cc2-4ef2-bdf2-6e0423a063b5,22.693,-24.366,22.241,-24.818,22.693,-24.818
Base-1786,1065,No,Base,1786,No,170.9167,219.1667,0,68413ed4-4bc4-4cd6-983b-27b1e9e96cab,8.094,5.199,9.759,6.865,9.759,5.199
Base-1787,1233,No,Base,1787,No,164.4167,219.1667,0,f8612876-a56f-434a-a674-d1b12295a027,11.995,-1.195,13.417,0.227,13.417,-1.195
